transaction_id,carrier_id,carrier_name,transaction_type,document_type,timestamp,hour_of_day,day_of_week,email,phone,ip_address,region,state,amount,session_duration_seconds,pages_visited,failed_attempts,device_type,browser,is_anomaly,anomaly_type,risk_score
TXN-001873,CR-0097,Hensley and Sons Trucking,COMPLIANCE_CHECK,DRIVERS_LICENSE,2026-03-19 16:33:50,16,Thursday,jonessarah@example.com,516.448.3503,112.144.127.143,West Coast,NY,372.39,694,12,0,Desktop,Safari,False,NONE,15.1
TXN-001439,CR-0136,"Mathews, Miller and Weaver Logistics",ADDRESS_CHANGE,DRIVERS_LICENSE,2026-03-19 16:54:28,16,Thursday,travisclements@example.com,905.296.2507x960,125.29.214.203,Midwest,WY,0.0,674,13,1,Desktop,Firefox,False,NONE,7.8
TXN-000408,CR-0017,"Klein, Mitchell and Richardson Logistics",ADDRESS_CHANGE,DRIVERS_LICENSE,2026-03-19 17:41:33,17,Thursday,wstephens@example.net,(586)901-3854,128.128.137.248,Midwest,FM,0.0,174,7,1,Desktop,Chrome,False,NONE,6.4
TXN-001824,CR-0120,Nunez and Sons Freight,INSURANCE_UPDATE,PASSPORT,2026-03-19 19:38:47,19,Thursday,casey93@example.net,211-986-8482,166.222.143.236,Southeast,WA,0.0,1099,10,1,Desktop,Chrome,False,NONE,18.0
TXN-A00197,CR-0103,Smith Ltd Trucking,DOCUMENT_SUBMISSION,COMPLIANCE_FORM,2026-03-20 01:37:41,1,Friday,dawn17@example.com,(628)878-5569x14922,162.7.1.88,Midwest,HI,58.76,282,2,3,Mobile,Chrome,True,UNUSUAL_HOUR,58.4
TXN-001727,CR-0168,"Roberts, Austin and Cruz Transport",INSURANCE_UPDATE,INSURANCE_CERTIFICATE,2026-03-20 03:42:29,3,Friday,adrianburns@example.org,280-383-0358,61.218.20.30,Northwest,MT,104.54,1239,3,0,Mobile,Safari,False,NONE,5.4
TXN-000609,CR-0184,Matthews-Davis Freight,VEHICLE_ADDITION,PASSPORT,2026-03-20 03:59:57,3,Friday,michellegillespie@example.net,+1-213-476-2227,133.232.99.197,West Coast,FL,332.97,1433,3,1,Tablet,Edge,False,NONE,2.7
TXN-001182,CR-0010,"Lynch, Garcia and Matthews Logistics",DRIVER_ONBOARDING,INSURANCE_CERTIFICATE,2026-03-20 07:23:30,7,Friday,lthomas@example.org,+1-955-618-6440x3398,103.101.79.23,Northwest,SD,0.0,729,15,0,Desktop,Firefox,False,NONE,11.0
TXN-000182,CR-0103,"Zimmerman, Moyer and Gibson Transport",DOCUMENT_SUBMISSION,INSURANCE_CERTIFICATE,2026-03-20 07:34:48,7,Friday,cturner@example.com,894.907.4012,187.158.40.72,Northeast,IA,0.0,476,14,0,Desktop,Chrome,False,NONE,9.3
TXN-001214,CR-0109,Anderson-Rogers Logistics,ADDRESS_CHANGE,INSURANCE_CERTIFICATE,2026-03-20 07:39:00,7,Friday,thompsonbrittany@example.org,+1-330-885-0335x2942,91.123.60.143,Northeast,TX,0.0,1286,11,0,Mobile,Chrome,False,NONE,12.9
TXN-001905,CR-0167,Gomez-Chavez Trucking,CONTACT_UPDATE,PASSPORT,2026-03-20 08:10:36,8,Friday,davidbrown@example.com,+1-999-253-4629x567,119.25.177.158,Northwest,IN,30.67,1439,5,0,Desktop,Safari,False,NONE,9.3
TXN-000012,CR-0181,Smith-Navarro Transport,AUTHORITY_RENEWAL,DRIVERS_LICENSE,2026-03-20 08:26:56,8,Friday,jasonchapman@example.net,(987)918-1885x326,154.85.139.120,Southeast,ME,0.0,920,8,2,Desktop,Chrome,False,NONE,25.7
TXN-000163,CR-0159,Smith-Baker Trucking,DOCUMENT_SUBMISSION,PASSPORT,2026-03-20 08:43:43,8,Friday,judylong@example.com,(841)449-7821,126.236.158.152,Northeast,IL,0.0,548,6,0,Desktop,Firefox,False,NONE,15.3
TXN-A00187,CR-0111,Smith-Hamilton Trucking,ADDRESS_CHANGE,DRIVERS_LICENSE,2026-03-20 09:44:31,9,Friday,robert94@example.net,+1-290-626-5155x123,137.174.28.45,Northwest,OH,0.0,6,1,0,Desktop,Chrome,True,DUPLICATE_SUBMISSION,74.6
TXN-000816,CR-0134,Brown-Kelley Transport,VEHICLE_ADDITION,PASSPORT,2026-03-20 10:05:28,10,Friday,sarawallace@example.org,001-812-201-5644x7081,104.245.43.243,Southwest,VI,280.24,1063,13,1,Mobile,Edge,False,NONE,19.6
TXN-000877,CR-0145,Lamb Inc Trucking,NEW_CARRIER_REGISTRATION,COMPLIANCE_FORM,2026-03-20 11:26:27,11,Friday,qrice@example.net,(834)814-2702x4041,51.196.241.104,Northwest,MS,0.0,1709,4,2,Mobile,Chrome,False,NONE,24.6
TXN-000628,CR-0112,"Jones, Adams and Hubbard Freight",CONTACT_UPDATE,DRIVERS_LICENSE,2026-03-20 11:38:13,11,Friday,jayjohnson@example.org,(265)519-6564x629,113.20.70.32,Southwest,GU,203.39,734,12,0,Tablet,Safari,False,NONE,4.4
TXN-001955,CR-0192,Kelley Inc Trucking,NEW_CARRIER_REGISTRATION,DRIVERS_LICENSE,2026-03-20 11:41:16,11,Friday,jessica12@example.org,(499)440-0997,147.177.158.24,Midwest,PR,444.09,1800,13,1,Mobile,Firefox,False,NONE,19.9
TXN-001085,CR-0122,Smith-Acevedo Transport,NEW_CARRIER_REGISTRATION,INSURANCE_CERTIFICATE,2026-03-20 12:35:21,12,Friday,nbriggs@example.org,910.886.3655,137.31.160.208,Southwest,DC,0.0,1159,15,0,Desktop,Chrome,False,NONE,1.6
TXN-000927,CR-0115,Bradley Ltd Trucking,IDENTITY_VERIFICATION,DRIVERS_LICENSE,2026-03-20 13:03:19,13,Friday,ebrown@example.net,001-305-516-7571x7583,138.123.223.181,Northeast,MP,32.71,1532,6,0,Tablet,Chrome,False,NONE,21.4
TXN-000454,CR-0029,Ramos LLC Logistics,NEW_CARRIER_REGISTRATION,DRIVERS_LICENSE,2026-03-20 13:31:23,13,Friday,smithlaura@example.com,(633)225-1860,142.181.74.143,Midwest,HI,0.0,296,8,0,Mobile,Safari,False,NONE,20.6
TXN-A00041,CR-0160,Dennis-Turner Trucking,DRIVER_ONBOARDING,VEHICLE_REGISTRATION,2026-03-20 13:31:46,13,Friday,meredithfranklin@example.org,8876915639,103.244.152.199,Southwest,SC,619.02,5,2,5,Desktop,Chrome,True,VELOCITY_SPIKE,93.0
TXN-A00030,CR-0176,"Ponce, Bennett and Young Trucking",AUTHORITY_RENEWAL,VEHICLE_REGISTRATION,2026-03-20 14:05:10,14,Friday,daniel46@example.com,+1-472-368-9776x4306,52.216.112.98,Midwest,MI,0.0,181,6,0,Desktop,Firefox,True,ADDRESS_MISMATCH,78.1
TXN-A00184,CR-0056,Flores-Simpson Trucking,INSURANCE_UPDATE,PASSPORT,2026-03-20 14:36:04,14,Friday,philippotter@example.org,(740)207-1161x422,99.148.186.154,Southwest,CT,0.0,45,4,2,Desktop,Firefox,True,ADDRESS_MISMATCH,75.6
TXN-000485,CR-0053,"Brown, Brown and Johnson Transport",AUTHORITY_RENEWAL,PASSPORT,2026-03-20 14:52:32,14,Friday,thomaseric@example.net,001-800-585-1255x81941,122.187.174.49,Northwest,NV,0.0,358,2,0,Desktop,Edge,False,NONE,27.2
TXN-001325,CR-0033,Copeland Ltd Transport,NEW_CARRIER_REGISTRATION,PASSPORT,2026-03-20 15:06:08,15,Friday,matthew82@example.org,234.292.4785x9902,112.96.184.50,Southeast,PA,208.96,156,8,0,Desktop,Chrome,False,NONE,10.3
TXN-001551,CR-0171,"Huerta, Ruiz and Foster Trucking",IDENTITY_VERIFICATION,VEHICLE_REGISTRATION,2026-03-20 15:06:59,15,Friday,dsmith@example.org,001-479-514-1890x43726,194.246.216.217,Northwest,MN,0.0,441,14,0,Desktop,Safari,False,NONE,26.5
TXN-000234,CR-0195,Wallace-Spence Trucking,DOCUMENT_SUBMISSION,PASSPORT,2026-03-20 16:36:42,16,Friday,jacksonkarl@example.com,+1-283-601-0636x9660,90.126.202.196,Midwest,MI,316.74,886,8,2,Desktop,Chrome,False,NONE,16.0
TXN-000529,CR-0114,Hamilton-Marsh Trucking,NEW_CARRIER_REGISTRATION,VEHICLE_REGISTRATION,2026-03-20 16:41:10,16,Friday,aprilgrant@example.net,455.920.0920,72.222.43.182,Northwest,RI,385.8,692,10,1,Mobile,Chrome,False,NONE,5.8
TXN-A00061,CR-0080,Johnson Ltd Trucking,NEW_CARRIER_REGISTRATION,INSURANCE_CERTIFICATE,2026-03-20 16:43:02,16,Friday,carrier586@bulkmail.com,800-906-1208,192.168.6.108,Southwest,IN,463.64,111,3,2,Desktop,Chrome,True,BULK_REGISTRATION,71.6
TXN-001263,CR-0158,"Townsend, Allen and Woods Trucking",DOCUMENT_SUBMISSION,COMPLIANCE_FORM,2026-03-20 16:46:41,16,Friday,millerchristopher@example.com,(200)680-3621x07066,175.175.241.159,Southwest,AR,0.0,1644,8,1,Desktop,Safari,False,NONE,19.4
TXN-001113,CR-0198,Carey and Sons Logistics,CONTACT_UPDATE,COMPLIANCE_FORM,2026-03-20 17:12:58,17,Friday,zhill@example.com,(716)513-3573,153.76.97.198,Southeast,AR,437.36,296,14,1,Tablet,Firefox,False,NONE,22.1
TXN-001011,CR-0109,Anderson-Rogers Logistics,VEHICLE_ADDITION,INSURANCE_CERTIFICATE,2026-03-20 19:42:23,19,Friday,thompsonbrittany@example.org,+1-330-885-0335x2942,153.3.179.153,Northeast,TX,0.0,486,6,0,Desktop,Edge,False,NONE,19.1
TXN-001519,CR-0121,"Walsh, Ross and Griffin Freight",COMPLIANCE_CHECK,VEHICLE_REGISTRATION,2026-03-20 21:09:20,21,Friday,ybennett@example.com,+1-601-949-6526x01724,83.229.52.174,Southeast,NJ,192.1,1045,9,1,Desktop,Edge,False,NONE,10.2
TXN-000968,CR-0030,Sanchez-Lopez Trucking,DRIVER_ONBOARDING,DRIVERS_LICENSE,2026-03-21 02:08:53,2,Saturday,corey68@example.com,(799)722-0739,77.63.20.46,Southeast,MS,0.0,1701,5,1,Mobile,Chrome,False,NONE,21.7
TXN-000597,CR-0174,Martin-Roach Logistics,IDENTITY_VERIFICATION,INSURANCE_CERTIFICATE,2026-03-21 03:42:14,3,Saturday,patricia35@example.com,(320)288-1704x8319,87.67.155.117,Northwest,KS,0.0,1244,12,1,Desktop,Chrome,False,NONE,19.3
TXN-000194,CR-0105,Rose-Perkins Freight,VEHICLE_ADDITION,DRIVERS_LICENSE,2026-03-21 07:22:30,7,Saturday,hrodriguez@example.net,(344)434-5714,103.116.79.119,Southeast,UT,0.0,1713,12,0,Mobile,Chrome,False,NONE,6.5
TXN-001193,CR-0160,Larsen PLC Logistics,INSURANCE_UPDATE,COMPLIANCE_FORM,2026-03-21 07:24:00,7,Saturday,laura21@example.com,+1-976-878-1791x00441,52.227.24.134,West Coast,FL,0.0,387,5,1,Desktop,Chrome,False,NONE,16.0
TXN-001532,CR-0119,"Clark, Rodriguez and Flores Logistics",CONTACT_UPDATE,PASSPORT,2026-03-21 07:24:46,7,Saturday,ayalaedgar@example.com,(823)664-5614x00200,117.194.167.124,West Coast,LA,0.0,1540,2,0,Desktop,Safari,False,NONE,29.4
TXN-000160,CR-0182,Phillips-Norris Transport,IDENTITY_VERIFICATION,PASSPORT,2026-03-21 07:54:53,7,Saturday,gconner@example.net,726-618-9508,137.166.28.174,Southeast,WI,275.96,737,10,0,Desktop,Edge,False,NONE,18.9
TXN-000438,CR-0101,Henry and Sons Trucking,DRIVER_ONBOARDING,COMPLIANCE_FORM,2026-03-21 08:20:16,8,Saturday,gregory24@example.net,314-492-3453x0483,180.242.15.233,Southeast,MP,0.0,935,7,0,Desktop,Safari,False,NONE,10.5
TXN-001254,CR-0095,Watson Group Logistics,IDENTITY_VERIFICATION,COMPLIANCE_FORM,2026-03-21 09:25:30,9,Saturday,combsmiguel@example.com,5537096339,147.201.34.219,Southeast,AZ,0.0,652,2,0,Mobile,Safari,False,NONE,6.9
TXN-001853,CR-0137,"Nelson, Lindsey and Hawkins Logistics",NEW_CARRIER_REGISTRATION,COMPLIANCE_FORM,2026-03-21 09:29:01,9,Saturday,timothyrussell@example.org,001-967-347-8385x5326,92.188.211.3,Northeast,NC,0.0,412,14,1,Desktop,Chrome,False,NONE,20.9
TXN-000717,CR-0020,Jones-Gray Transport,IDENTITY_VERIFICATION,VEHICLE_REGISTRATION,2026-03-21 09:44:50,9,Saturday,ojackson@example.net,5396351385,147.70.179.44,Midwest,NJ,0.0,318,7,2,Mobile,Edge,False,NONE,19.1
TXN-A00101,CR-0142,"Sanchez, Jennings and Martin Trucking",ADDRESS_CHANGE,INSURANCE_CERTIFICATE,2026-03-21 10:46:48,10,Saturday,dominique62@example.net,352.796.7747,87.41.205.251,Midwest,CA,0.0,26,2,1,Desktop,Chrome,True,RAPID_CHANGES,73.4
TXN-001573,CR-0015,Thompson LLC Freight,CONTACT_UPDATE,INSURANCE_CERTIFICATE,2026-03-21 12:27:28,12,Saturday,anna02@example.org,(666)343-4391x305,83.101.73.56,Midwest,PA,0.0,1232,7,0,Desktop,Safari,False,NONE,12.7
TXN-000132,CR-0110,Shields Inc Trucking,AUTHORITY_RENEWAL,VEHICLE_REGISTRATION,2026-03-21 13:03:50,13,Saturday,xhall@example.net,(916)766-7620,138.242.165.172,Northwest,TN,0.0,912,8,0,Desktop,Edge,False,NONE,7.2
TXN-001626,CR-0019,Jackson-Ward Freight,CONTACT_UPDATE,DRIVERS_LICENSE,2026-03-21 13:22:59,13,Saturday,joyce16@example.org,(913)644-0190x5456,180.1.89.89,Northeast,NE,403.88,717,15,0,Desktop,Edge,False,NONE,20.1
TXN-001625,CR-0177,Walter-Jacobs Freight,INSURANCE_UPDATE,PASSPORT,2026-03-21 13:49:13,13,Saturday,jeremyhill@example.com,(596)846-8116x363,141.23.124.178,Midwest,VI,296.54,220,6,0,Desktop,Safari,False,NONE,1.1
TXN-000985,CR-0081,Lynch-Terry Trucking,INSURANCE_UPDATE,VEHICLE_REGISTRATION,2026-03-21 14:34:00,14,Saturday,carloscuevas@example.com,(723)758-7015x73825,101.211.208.166,Northeast,PW,147.81,184,13,2,Desktop,Safari,False,NONE,7.4
TXN-001756,CR-0120,Nunez and Sons Freight,DRIVER_ONBOARDING,COMPLIANCE_FORM,2026-03-21 14:38:15,14,Saturday,casey93@example.net,211-986-8482,120.134.135.235,Southeast,WA,0.0,638,10,0,Tablet,Firefox,False,NONE,29.4
TXN-001839,CR-0149,Burns-Warner Trucking,IDENTITY_VERIFICATION,INSURANCE_CERTIFICATE,2026-03-21 14:51:02,14,Saturday,reyesabigail@example.org,+1-970-513-4060,131.145.138.28,West Coast,MT,0.0,1036,9,0,Desktop,Edge,False,NONE,11.4
TXN-001184,CR-0198,Carey and Sons Logistics,COMPLIANCE_CHECK,VEHICLE_REGISTRATION,2026-03-21 17:02:00,17,Saturday,zhill@example.com,(716)513-3573,140.46.117.99,Southeast,AR,61.01,1271,10,0,Desktop,Firefox,False,NONE,22.7
TXN-001737,CR-0193,Lopez and Sons Logistics,INSURANCE_UPDATE,VEHICLE_REGISTRATION,2026-03-21 18:34:14,18,Saturday,jkim@example.org,4819601749,69.107.25.91,Northwest,OH,0.0,866,14,0,Desktop,Edge,False,NONE,2.7
TXN-000539,CR-0170,"Little, Terry and Bird Transport",DRIVER_ONBOARDING,DRIVERS_LICENSE,2026-03-21 21:21:42,21,Saturday,hansencharlene@example.com,001-453-289-0376x72266,103.118.246.154,Northeast,AK,66.86,64,11,0,Tablet,Firefox,False,NONE,12.4
TXN-000043,CR-0112,"Jones, Adams and Hubbard Freight",VEHICLE_ADDITION,DRIVERS_LICENSE,2026-03-21 21:48:55,21,Saturday,jayjohnson@example.org,(265)519-6564x629,75.114.43.178,Southwest,GU,0.0,1690,2,0,Desktop,Firefox,False,NONE,7.3
TXN-A00044,CR-0080,Martin Ltd Trucking,DRIVER_ONBOARDING,DRIVERS_LICENSE,2026-03-22 00:34:54,0,Sunday,cdavis@example.com,+1-700-921-5004,87.175.41.188,Southeast,NV,1406.62,1545,1,0,Tablet,Edge,True,SUSPICIOUS_PATTERN,66.2
TXN-001357,CR-0061,Jordan Ltd Freight,VEHICLE_ADDITION,DRIVERS_LICENSE,2026-03-22 00:42:14,0,Sunday,mariacasey@example.org,(779)741-1640x396,130.59.220.144,West Coast,GU,161.98,87,12,0,Mobile,Firefox,False,NONE,12.0
TXN-001016,CR-0042,Woods-Rivera Logistics,IDENTITY_VERIFICATION,DRIVERS_LICENSE,2026-03-22 05:38:44,5,Sunday,cory91@example.org,001-298-735-7997x1678,134.110.29.176,Northwest,DE,0.0,1055,5,0,Mobile,Firefox,False,NONE,23.2
TXN-001658,CR-0040,Lee-Simon Freight,IDENTITY_VERIFICATION,PASSPORT,2026-03-22 08:48:23,8,Sunday,bwallace@example.org,919-692-9300x899,160.255.161.186,Southwest,GU,0.0,1017,9,0,Tablet,Edge,False,NONE,26.6
TXN-000652,CR-0178,Austin Ltd Trucking,CONTACT_UPDATE,DRIVERS_LICENSE,2026-03-22 08:52:19,8,Sunday,zmejia@example.net,+1-552-396-8038,151.127.176.137,Northeast,AL,0.0,1597,10,0,Mobile,Edge,False,NONE,18.2
